id,nome,cargo,horario, idAtribuicoes
1001,João Silva,Gerente,8:00 - 17:00,1
1002,Maria Santos,Supervisor,9:00 - 18:00,3
1003,Pedro Rocha,Técnico,10:00 - 19:00,2
1004,Ana Oliveira,Coordenadora,8:30 - 17:30,3
1005,Lucas Mendes,Analista,9:30 - 18:30,5
1006,Julia Ferreira,Engenheira,8:00 - 17:00,6
1007,Rafael Torres,Operador,14:00 - 23:00,8
1008,Carla Almeida,Supervisor,9:00 - 18:00,9
1009,André Lima,Técnico,10:00 - 19:00,10
1010,Fernanda Costa,Analista,8:30 - 17:30,1
1011,Marcos Santos,Engenheiro,9:30 - 18:30,3
1012,Isabela Oliveira,Gerente,8:00 - 17:00,7
1013,Gustavo Ferreira,Supervisor,9:00 - 18:00,5
1014,Larissa Mendes,Coordenadora,10:00 - 19:00,8
1015,Rodrigo Almeida,Técnico,8:30 - 17:30,4
